"SIZE_BIN","SHELL_TEXT","TOTAL_CRAB"
95,"New Hard",4
95,"Old",0
95,"Very Old",0
96,"New Hard",3
96,"Old",0
96,"Very Old",0
97,"New Hard",10
97,"Old",0
97,"Very Old",0
98,"New Hard",6
98,"Old",0
98,"Very Old",0
99,"New Hard",5
99,"Old",0
99,"Very Old",0
100,"New Hard",7
100,"Old",0
100,"Very Old",0
101,"New Hard",6
101,"Old",0
101,"Very Old",0
102,"New Hard",5
102,"Old",0
102,"Very Old",0
103,"New Hard",8
103,"Old",0
103,"Very Old",0
104,"New Hard",5
104,"Old",0
104,"Very Old",0
105,"New Hard",4
105,"Old",0
105,"Very Old",0
106,"New Hard",10
106,"Old",0
106,"Very Old",0
107,"New Hard",9
107,"Old",0
107,"Very Old",0
108,"New Hard",8
108,"Old",0
108,"Very Old",0
109,"New Hard",8
109,"Old",0
109,"Very Old",0
110,"New Hard",4
110,"Old",0
110,"Very Old",0
111,"New Hard",9
111,"Old",1
111,"Very Old",0
112,"New Hard",6
112,"Old",0
112,"Very Old",0
113,"New Hard",6
113,"Old",0
113,"Very Old",0
114,"New Hard",7
114,"Old",0
114,"Very Old",1
115,"New Hard",4
115,"Old",0
115,"Very Old",0
116,"New Hard",7
116,"Old",0
116,"Very Old",0
117,"New Hard",10
117,"Old",0
117,"Very Old",0
118,"New Hard",2
118,"Old",0
118,"Very Old",0
119,"New Hard",9
119,"Old",0
119,"Very Old",0
120,"New Hard",11
120,"Old",0
120,"Very Old",0
121,"New Hard",4
121,"Old",0
121,"Very Old",0
122,"New Hard",5
122,"Old",0
122,"Very Old",0
123,"New Hard",4
123,"Old",2
123,"Very Old",0
124,"New Hard",1
124,"Old",0
124,"Very Old",0
125,"New Hard",3
125,"Old",0
125,"Very Old",0
126,"New Hard",7
126,"Old",0
126,"Very Old",0
127,"New Hard",2
127,"Old",1
127,"Very Old",0
128,"New Hard",1
128,"Old",0
128,"Very Old",0
129,"New Hard",7
129,"Old",0
129,"Very Old",0
130,"New Hard",5
130,"Old",0
130,"Very Old",0
131,"New Hard",2
131,"Old",0
131,"Very Old",0
132,"New Hard",4
132,"Old",0
132,"Very Old",0
133,"New Hard",4
133,"Old",0
133,"Very Old",0
134,"New Hard",3
134,"Old",0
134,"Very Old",0
135,"New Hard",5
135,"Old",0
135,"Very Old",0
136,"New Hard",4
136,"Old",5
136,"Very Old",0
137,"New Hard",4
137,"Old",1
137,"Very Old",0
138,"New Hard",3
138,"Old",2
138,"Very Old",0
139,"New Hard",2
139,"Old",0
139,"Very Old",1
140,"New Hard",2
140,"Old",0
140,"Very Old",0
141,"New Hard",10
141,"Old",2
141,"Very Old",0
142,"New Hard",4
142,"Old",4
142,"Very Old",0
143,"New Hard",6
143,"Old",1
143,"Very Old",0
144,"New Hard",7
144,"Old",1
144,"Very Old",0
145,"New Hard",3
145,"Old",1
145,"Very Old",1
146,"New Hard",4
146,"Old",4
146,"Very Old",0
147,"New Hard",4
147,"Old",0
147,"Very Old",0
148,"New Hard",5
148,"Old",1
148,"Very Old",1
149,"New Hard",3
149,"Old",4
149,"Very Old",1
150,"New Hard",0
150,"Old",3
150,"Very Old",1
151,"New Hard",4
151,"Old",3
151,"Very Old",1
152,"New Hard",6
152,"Old",1
152,"Very Old",0
153,"New Hard",4
153,"Old",4
153,"Very Old",1
154,"New Hard",2
154,"Old",3
154,"Very Old",4
155,"New Hard",3
155,"Old",3
155,"Very Old",0
156,"New Hard",5
156,"Old",0
156,"Very Old",0
157,"New Hard",3
157,"Old",1
157,"Very Old",0
158,"New Hard",2
158,"Old",1
158,"Very Old",2
159,"New Hard",7
159,"Old",2
159,"Very Old",2
160,"New Hard",5
160,"Old",0
160,"Very Old",1
161,"New Hard",2
161,"Old",0
161,"Very Old",2
162,"New Hard",3
162,"Old",1
162,"Very Old",1
163,"New Hard",3
163,"Old",0
163,"Very Old",0
164,"New Hard",1
164,"Old",2
164,"Very Old",4
165,"New Hard",1
165,"Old",0
165,"Very Old",3
166,"New Hard",0
166,"Old",0
166,"Very Old",1
167,"New Hard",4
167,"Old",0
167,"Very Old",0
168,"New Hard",1
168,"Old",0
168,"Very Old",3
169,"New Hard",1
169,"Old",4
169,"Very Old",2
170,"New Hard",2
170,"Old",0
170,"Very Old",0
171,"New Hard",3
171,"Old",0
171,"Very Old",1
172,"New Hard",2
172,"Old",0
172,"Very Old",0
173,"New Hard",0
173,"Old",0
173,"Very Old",0
174,"New Hard",0
174,"Old",0
174,"Very Old",0
175,"New Hard",1
175,"Old",0
175,"Very Old",1
176,"New Hard",0
176,"Old",0
176,"Very Old",1
177,"New Hard",2
177,"Old",0
177,"Very Old",0
178,"New Hard",2
178,"Old",1
178,"Very Old",0
179,"New Hard",0
179,"Old",0
179,"Very Old",0
180,"New Hard",0
180,"Old",0
180,"Very Old",1
181,"New Hard",0
181,"Old",0
181,"Very Old",0
182,"New Hard",0
182,"Old",0
182,"Very Old",0
183,"New Hard",0
183,"Old",0
183,"Very Old",0
184,"New Hard",1
184,"Old",0
184,"Very Old",0
